,"#;""اسم المؤسسة"";""المحلية"";""القطاع"";""نوع المؤسسة"";""العنوان"";""الهاتف"";""ملاحظات"""
0,"1;""مستشفى النيل الأبيض"";""الخرطوم بحري"";""خاص"";""مستشفى"";""جوار جامعة الزعيم الأزهرى"";""0"";""---"""
1,"2;""مجمع آمن الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""الحلفايا مربع 8 شرق الطلمبة"";""902554639"";""----"""
2,"3;""مجمع البراء الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""شارع الزعيم الازهرى جنوب استاد التحرير"";""155401072"";""----"""
3,"4;""مجمع الأمال الطبى التخصصى"";""الخرطوم بحري"";""خاص"";""مركز"";""الفيحاء مربع 8عقار 21 جوار صيدلية د.آمال"";""0"";""----"""
4,"5;""مجمع عيادات ميم"";""الخرطوم بحري"";""خاص"";""مركز"";""صينية الكبرى الجديد شرق النيل"";""154911170"";""-------"""
5,"6;""مركز العنقاء لطب العيون"";""الخرطوم بحري"";""خاص"";""مركز"";""جنوب البيت السورى شارع شمبات"";""157902767"";""---"""
6,"7;""مركز د.ياسر عمر عبيد"";""الخرطوم بحري"";""خاص"";""مركز"";""ام القرى شارع الدبابين"";""153995853"";""---"""
7,"8;""مجمع الأمل الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""أم القرى ش.محطة العونى ش.الدبابين"";""910280094"";""----"""
8,"9;""مركز جراحة القلب وزراعة الكلى"";""الخرطوم بحري"";""خاص"";""مركز"";""م.احمد قاسم الجناح الخاص المزاد شارع المعونة تقاطع احمد قاسم"";""912902660"";""--------"""
9,"10;""مشروع المدينة المعززة للصحة"";""الخرطوم بحري"";""خاص"";""مركز"";""حلفاية الملوك"";""912239250"";""-----"""
10,"11;""مركز الرحمة التخصصى"";""الخرطوم بحري"";""خاص"";""مركز"";""جنوب مستشفى بحرى الأملاك"";""912316986"";""------------"""
11,"12;""الجناح الخاص مستشفى بحرى"";""الخرطوم بحري"";""خاص"";""مستشفى"";""شارع مستشفى بحرى"";""185331184"";""-----"""
12,"13;""مركز الفيحاء الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""شرق النيل حى الفيحاء الحاج يوسف"";""155771300"";""----"""
13,"14;""المركز الطبى الخيرى"";""الخرطوم بحري"";""خاص"";""مركز"";""الكدرو أم القرى جنوب"";""154952484"";""---"""
14,"15;""مجمع عيادات الجهاز القضائى"";""الخرطوم بحري"";""خاص"";""مركز"";""رئاسة الجهاز القضائى بحرى"";""0"";""------"""
15,"16;""مركز الرجاء التخصصى للنساء والتوليد"";""الخرطوم بحري"";""خاص"";""مركز"";""شارع أحمد قاسم شمال مركز السكرى"";""185348323"";""-----------"""
16,"17;""مركز ترياق الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""شرق النيل حى القادسية جنوب سوداتل"";""911111027"";""-------"""
17,"18;""مركز الدكتور محمد عثمان حسنين"";""الخرطوم بحري"";""خاص"";""مركز"";""امام كوبرى كوبر"";""0"";""---"""
18,"19;""مجمع ايات الرحمن الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""الدروشاب مربع 9 عقار رقم 36"";""912601671"";""----"""
19,"20;""مركز د.السيسى لطب وجراحة العيون"";""الخرطوم بحري"";""خاص"";""مركز"";""أمام حوادث مستشفى بحرى"";""0"";""-----"""
20,"21;""مركز حى الجامعة التخصصى"";""الخرطوم بحري"";""خاص"";""مركز"";""الفيحاء شارع الامين دفع الله مربع 5"";""155255265"";""------"""
21,"22;""المستشفى الدولى"";""الخرطوم بحري"";""خاص"";""مستشفى"";""شارع الزعيم الأزهرى شرق الكبرى"";""911159731"";""---"""
22,"23;""مستشفى جمعية زارعى الكلى السودانية"";""الخرطوم بحري"";""خاص"";""مستشفى"";""شارع احمد قاسم غرب جامعة الأزهرى"";""155281979"";""------"""
23,"24;""مستشفى حراء التخصصى"";""الخرطوم بحري"";""خاص"";""مستشفى"";""الحاج يوسف الردمية محطة نقزو"";""918008888"";""----"""
24,"25;""مركز بدر الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""السامراب محطة 2"";""120801396"";""---"""
25,"26;""مركز الشهيد ابراهيم شمس الدين"";""الخرطوم بحري"";""خاص"";""مركز"";""دار السلام المغاربة شارع العيلفون"";""0"";""----"""
26,"27;""مجمع الأكسير الطبى التخصصى"";""الخرطوم بحري"";""خاص"";""مركز"";""الحاج يوسف شارع واحد تقاطع ش 9"";""915187505"";""----"""
27,"28;""مركز لوزان الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""الحاج يوسف المايقومامحطة 16"";""0"";""---"""
28,"29;""مركز دندنة الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""الحاج يوسف المايقوما محطة 22"";""912203860"";""----"""
29,"30;""مستوصف الندى الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""الدروشاب محطة 16"";""0"";""-----"""
30,"31;""مستوصف سلامتك الطبى"";""الخرطوم بحري"";""خاص"";""مركز"";""السروراب محطة 3"";""0"";""----"""
31,"32;""مستشفى البراحة الطبية"";""الخرطوم بحري"";""خاص"";""مستشفى"";""شمبات شرق السوق المركزى"";""0"";""----"""
32,"33;""مختبر السلامة الطبى"";""الخرطوم بحري"";""خاص"";""معمل"";""شارع الميرغنى مجمع السلامة الطبى جنوب مستشفى بحرى"";""0"";""لاتوجد"""
33,"34;""مركز الرحمة للتشخيص الطبى"";""الخرطوم بحري"";""خاص"";""معمل"";""جنوب مستشفى بحرى الأملاك"";""0"";""لاتوجد"""
34,"35;""معمل مها عبداللطيف"";""الخرطوم بحري"";""خاص"";""معمل"";""حلفاية الملوك"";""0"";""لاتوجد"""
35,"36;""مركز الدكتور محمد عثمان حسنين"";""الخرطوم بحري"";""خاص"";""معمل"";""امام كوبرى كوبر"";""0"";""لاتوجد"""
36,"37;""محمد عبدالقادر هلال"";""الخرطوم بحري"";""خاص"";""معمل"";""مجمع الأملاك حوار سينما الوطنية"";""0"";""لاتوجد"""
37,"38;""فوزى مرقص عطاالله"";""الخرطوم بحري"";""خاص"";""معمل"";""مجمع الأملاك جوار سينما الوطنية"";""0"";""لاتوجد"""
38,"39;""معمل الأمل الطبى التخصصى"";""الخرطوم بحري"";""خاص"";""معمل"";""مقابل بوابة مستشفى بحرى"";""0"";""لاتوجد"""
39,"40;""معمل خليفة الطبى"";""الخرطوم بحري"";""خاص"";""معمل"";""الأملاك شارع البلدية"";""0"";""لاتوجد"""
40,"41;""مختبر التحاليل الطبية(أحمد التجانى)"";""الخرطوم بحري"";""خاص"";""معمل"";""شارع الحوادث مستشفى بحرى"";""0"";""لاتوجد"""
41,"42;""معمل المختبر الطبى الإستشارى"";""الخرطوم بحري"";""خاص"";""معمل"";""شارع الحوادث"";""0"";""لاتوجد"""
42,"43;""معمل يحى على يوسف"";""الخرطوم بحري"";""خاص"";""معمل"";""شمال مستشفى بحرى للأسنان"";""0"";""لاتوجد"""
43,"44;""معمل محمداحمد ابراهيم"";""الخرطوم بحري"";""خاص"";""معمل"";""الحاج يوسف عيادة د/حمزة عمر"";""0"";""لاتوجد"""
44,"45;""معمل د.محمد خالد على الروى"";""الخرطوم بحري"";""خاص"";""معمل"";""شارع المؤسسة جوار صيدلية السنجك"";""0"";""لاتوجد"""
45,"46;""معمل عبدالله احمد على بردان"";""الخرطوم بحري"";""خاص"";""معمل"";""الحاج يوسف عيادة د/على عثمان"";""0"";""لاتوجد"""
46,"47;""معمل البلولة جادالله محمد"";""الخرطوم بحري"";""خاص"";""معمل"";""الحاج يوسف عيادة د.على عثمان"";""0"";""لاتوجد"""
47,"48;""معمل عبدالماجد ابراهيم الطاهر"";""الخرطوم بحري"";""خاص"";""معمل"";""الحلفاياعيادة د .مجدى لويس"";""0"";""لاتوجد"""
48,"49;""معمل د. الأمين محمد ابراهيم"";""الخرطوم بحري"";""خاص"";""معمل"";""شارع المعونة جوار صيدلية الشعبية"";""0"";""لايوجد"""
49,"50;""معمل التحاليل الطبية (قصى)"";""الخرطوم بحري"";""خاص"";""معمل"";""شارع المؤسسة مقابل عيادة الكدرو"";""0"";""لاتوجد"""
50,"51;""معمل الغرفة الطبية"";""الخرطوم بحري"";""خاص"";""معمل"";""شارع المؤسسة مقابل صيدلية السنجك"";""0"";""لاتوجد"""
51,"52;""صيدلية تباشير"";""الخرطوم بحري"";""خاص"";""صيدلية"";""الحاج يوسف لفة شارع 1 +لفة الردمية"";""0"";""لا"""
52,"53;""صيدلية شذى"";""الخرطوم بحري"";""خاص"";""صيدلية"";""حى الهدى مربع 1 شرق صينية كبرى المنشية"";""0"";""لا"""
53,"54;""صيدلية نمرة"";""الخرطوم بحري"";""خاص"";""صيدلية"";""شمال الجناح الخاص مستشفى بحرى"";""0"";""لا"""
54,"55;""صيدلية مستشفى الأمل"";""الخرطوم بحري"";""خاص"";""صيدلية"";""مستشفى الأمل"";""0"";""لا"""
55,"56;""صيدلية البرنس"";""الخرطوم بحري"";""خاص"";""صيدلية"";""بحرى المؤسسة +كوبر"";""0"";""لا"""
56,"57;""صيدلية الوطنية بحرى"";""الخرطوم بحري"";""خاص"";""صيدلية"";""شارع البلدية مقابل عمارة ابراهيم طلب"";""0"";""لا"""
57,"58;""صيدلية الجهاز القضائى"";""الخرطوم بحري"";""خاص"";""صيدلية"";""رئاسة الجهاز القضائى بحرى+شرق النيل"";""0"";""لا"""
58,"59;""صيدلية ابوالمقداد"";""الخرطوم بحري"";""خاص"";""صيدلية"";""مواقع مختلفة"";""0"";""لا"""
