 	اسم المؤسسة	المحلية	القطاع	نوع المؤسسة	العنوان	الهاتف	ملاحظات
1	مستشفى النيل الأبيض	الخرطوم بحري	خاص	مستشفى	جوار جامعة الزعيم الأزهرى	0	---
2	مجمع آمن الطبى	الخرطوم بحري	خاص	مركز	الحلفايا مربع 8 شرق الطلمبة	902554639	----
3	مجمع البراء الطبى	الخرطوم بحري	خاص	مركز	شارع الزعيم الازهرى جنوب استاد التحرير	155401072	----
4	مجمع الأمال الطبى التخصصى	الخرطوم بحري	خاص	مركز	الفيحاء مربع 8عقار 21 جوار صيدلية د.آمال	0	----
5	مجمع عيادات ميم	الخرطوم بحري	خاص	مركز	صينية الكبرى الجديد شرق النيل	154911170	-------
6	مركز العنقاء لطب العيون	الخرطوم بحري	خاص	مركز	جنوب البيت السورى شارع شمبات	157902767	---
7	مركز د.ياسر عمر عبيد	الخرطوم بحري	خاص	مركز	ام القرى شارع الدبابين	153995853	---
8	مجمع الأمل الطبى	الخرطوم بحري	خاص	مركز	أم القرى ش.محطة العونى ش.الدبابين	910280094	----
9	مركز جراحة القلب وزراعة الكلى	الخرطوم بحري	خاص	مركز	م.احمد قاسم الجناح الخاص المزاد شارع المعونة تقاطع احمد قاسم	912902660	--------
10	مشروع المدينة المعززة للصحة	الخرطوم بحري	خاص	مركز	حلفاية الملوك	912239250	-----
11	مركز الرحمة التخصصى	الخرطوم بحري	خاص	مركز	جنوب مستشفى بحرى الأملاك	912316986	------------
12	الجناح الخاص مستشفى بحرى	الخرطوم بحري	خاص	مستشفى	شارع مستشفى بحرى	185331184	-----
13	مركز الفيحاء الطبى	الخرطوم بحري	خاص	مركز	شرق النيل حى الفيحاء الحاج يوسف	155771300	----
14	المركز الطبى الخيرى	الخرطوم بحري	خاص	مركز	الكدرو أم القرى جنوب	154952484	---
15	مجمع عيادات الجهاز القضائى	الخرطوم بحري	خاص	مركز	رئاسة الجهاز القضائى بحرى	0	------
16	مركز الرجاء التخصصى للنساء والتوليد	الخرطوم بحري	خاص	مركز	شارع أحمد قاسم شمال مركز السكرى	185348323	-----------
17	مركز ترياق الطبى	الخرطوم بحري	خاص	مركز	شرق النيل حى القادسية جنوب سوداتل	911111027	-------
18	مركز الدكتور محمد عثمان حسنين	الخرطوم بحري	خاص	مركز	امام كوبرى كوبر	0	---
19	مجمع ايات الرحمن الطبى	الخرطوم بحري	خاص	مركز	الدروشاب مربع 9 عقار رقم 36	912601671	----
20	مركز د.السيسى لطب وجراحة العيون	الخرطوم بحري	خاص	مركز	أمام حوادث مستشفى بحرى	0	-----
21	مركز حى الجامعة التخصصى	الخرطوم بحري	خاص	مركز	الفيحاء شارع الامين دفع الله مربع 5	155255265	------
22	المستشفى الدولى	الخرطوم بحري	خاص	مستشفى	شارع الزعيم الأزهرى شرق الكبرى	911159731	---
23	مستشفى جمعية زارعى الكلى السودانية	الخرطوم بحري	خاص	مستشفى	شارع احمد قاسم غرب جامعة الأزهرى	155281979	------
24	مستشفى حراء التخصصى	الخرطوم بحري	خاص	مستشفى	الحاج يوسف الردمية محطة نقزو	918008888	----
25	مركز بدر الطبى	الخرطوم بحري	خاص	مركز	السامراب محطة 2	120801396	---
26	مركز الشهيد ابراهيم شمس الدين	الخرطوم بحري	خاص	مركز	دار السلام المغاربة شارع العيلفون	0	----
27	مجمع الأكسير الطبى التخصصى	الخرطوم بحري	خاص	مركز	الحاج يوسف شارع واحد تقاطع ش 9	915187505	----
28	مركز لوزان الطبى	الخرطوم بحري	خاص	مركز	الحاج يوسف المايقومامحطة 16	0	---
29	مركز دندنة الطبى	الخرطوم بحري	خاص	مركز	الحاج يوسف المايقوما محطة 22	912203860	----
30	مستوصف الندى الطبى	الخرطوم بحري	خاص	مركز	الدروشاب محطة 16	0	-----
31	مستوصف سلامتك الطبى	الخرطوم بحري	خاص	مركز	السروراب محطة 3	0	----
32	مستشفى البراحة الطبية	الخرطوم بحري	خاص	مستشفى	شمبات شرق السوق المركزى	0	----
33	مختبر السلامة الطبى	الخرطوم بحري	خاص	معمل	شارع الميرغنى مجمع السلامة الطبى جنوب مستشفى بحرى	0	لاتوجد
34	مركز الرحمة للتشخيص الطبى	الخرطوم بحري	خاص	معمل	جنوب مستشفى بحرى الأملاك	0	لاتوجد
35	معمل مها عبداللطيف	الخرطوم بحري	خاص	معمل	حلفاية الملوك	0	لاتوجد
